Day of the Week;Product 1;Product 2;Product 3;Product 4;Time of the day
Tuesday;Pasta;Grapes;Chicken;Egg;Evening
Wednesday;Rice;Apple;Fish;Cheese;Evening
Thursday;Bread;Apple;Chicken;Egg;Morning
Friday;Pasta;Blueberry;Beef;Egg;Evening
Saturday;Rice;Apple;Beef;Butter;Afternoon
Sunday;Bread;Apple;Chicken;Milk;Morning
Monday;Bread;Apple;Chicken;Cheese;Afternoon
Tuesday;Potato;Apple;Chicken;Milk;Morning
Wednesday;Potato;Orange;Chicken;Cheese;Evening
Thursday;Bread;Apple;Fish;Cheese;Morning
Friday;Rice;Blueberry;Beef;Egg;Morning
Saturday;Pasta;Orange;Chicken;Egg;Afternoon
Sunday;Bread;Apple;Chicken;Egg;Afternoon
Monday;Potato;Blueberry;Fish;Egg;Morning
Tuesday;Pasta;Apple;Chicken;Butter;Evening
Wednesday;Bread;Apple;Chicken;Butter;Morning
Thursday;Bread;Grapes;Beef;Egg;Morning
Friday;Bread;Apple;Chicken;Cheese;Morning
Saturday;Bread;Blueberry;Chicken;Cheese;Afternoon
Sunday;Rice;Apple;Fish;Egg;Afternoon
Monday;Bread;Blueberry;Beef;Butter;Afternoon
Tuesday;Bread;Apple;Chicken;Milk;Morning
Wednesday;Bread;Apple;Beef;Cheese;Evening
Thursday;Potato;Grapes;Chicken;Cheese;Evening
Friday;Rice;Grapes;Chicken;Butter;Morning
Saturday;Bread;Apple;Fish;Cheese;Afternoon
Sunday;Potato;Apple;Fish;Cheese;Afternoon
Monday;Bread;Apple;Chicken;Cheese;Evening
Tuesday;Bread;Apple;Beef;Milk;Evening
Wednesday;Bread;Grapes;Chicken;Cheese;Evening
Thursday;Bread;Apple;Beef;Milk;Morning
Friday;Bread;Apple;Fish;Butter;Afternoon
Saturday;Bread;Apple;Chicken;Cheese;Morning
Sunday;Bread;Orange;Beef;Egg;Evening
Monday;Rice;Grapes;Fish;Egg;Evening
Tuesday;Pasta;Orange;Chicken;Egg;Afternoon
Wednesday;Potato;Blueberry;Fish;Cheese;Afternoon
Thursday;Bread;Apple;Chicken;Cheese;Evening
Friday;Rice;Grapes;Chicken;Cheese;Evening
Saturday;Bread;Banana;Chicken;Butter;Evening
Sunday;Pasta;Apple;Beef;Butter;Morning
Monday;Bread;Apple;Beef;Cheese;Afternoon
Tuesday;Potato;Grapes;Beef;Butter;Evening
Wednesday;Bread;Blueberry;Fish;Cheese;Evening
Thursday;Bread;Banana;Beef;Cheese;Afternoon
Friday;Bread;Orange;Beef;Cheese;Evening
Saturday;Bread;Blueberry;Chicken;Butter;Afternoon
Sunday;Rice;Orange;Chicken;Cheese;Morning
Monday;Bread;Apple;Chicken;Cheese;Evening
Tuesday;Pasta;Apple;Chicken;Cheese;Morning
Wednesday;Bread;Apple;Beef;Cheese;Morning
Thursday;Rice;Blueberry;Chicken;Milk;Morning
Friday;Rice;Apple;Beef;Egg;Morning
Saturday;Pasta;Apple;Beef;Cheese;Evening
Sunday;Bread;Apple;Beef;Milk;Morning
Monday;Rice;Blueberry;Chicken;Egg;Afternoon
Tuesday;Bread;Apple;Beef;Milk;Morning
Wednesday;Potato;Apple;Fish;Egg;Evening
Thursday;Bread;Apple;Fish;Egg;Evening
Friday;Bread;Apple;Beef;Milk;Evening
Saturday;Bread;Blueberry;Beef;Cheese;Evening
Sunday;Rice;Orange;Fish;Butter;Evening
Monday;Potato;Orange;Chicken;Cheese;Afternoon
Tuesday;Rice;Orange;Fish;Cheese;Evening
Wednesday;Bread;Orange;Fish;Egg;Afternoon
Thursday;Bread;Orange;Chicken;Cheese;Afternoon
Friday;Pasta;Grapes;Chicken;Butter;Evening
Saturday;Bread;Apple;Chicken;Egg;Evening
Sunday;Bread;Apple;Chicken;Egg;Morning
Monday;Rice;Grapes;Chicken;Cheese;Afternoon
Tuesday;Rice;Apple;Beef;Cheese;Evening
Wednesday;Bread;Apple;Beef;Egg;Morning
Thursday;Bread;Grapes;Beef;Butter;Morning
Friday;Pasta;Apple;Chicken;Egg;Evening
Saturday;Potato;Orange;Chicken;Butter;Evening
Sunday;Bread;Blueberry;Fish;Milk;Afternoon
Monday;Pasta;Apple;Beef;Cheese;Evening
Tuesday;Bread;Apple;Chicken;Egg;Afternoon
Wednesday;Potato;Banana;Chicken;Butter;Morning
Thursday;Rice;Apple;Chicken;Butter;Evening
Friday;Bread;Apple;Fish;Cheese;Evening
Saturday;Potato;Apple;Fish;Butter;Evening
Sunday;Pasta;Orange;Chicken;Milk;Evening
Monday;Bread;Apple;Beef;Egg;Evening
Tuesday;Pasta;Apple;Chicken;Cheese;Morning
Wednesday;Rice;Banana;Fish;Cheese;Afternoon
Thursday;Potato;Grapes;Fish;Cheese;Morning
Friday;Potato;Apple;Chicken;Milk;Evening
Saturday;Bread;Orange;Chicken;Egg;Afternoon
Sunday;Pasta;Apple;Chicken;Cheese;Afternoon
Monday;Pasta;Grapes;Chicken;Milk;Morning
Tuesday;Bread;Apple;Fish;Cheese;Afternoon
Wednesday;Pasta;Apple;Chicken;Butter;Afternoon
Thursday;Bread;Orange;Beef;Cheese;Morning
Friday;Pasta;Orange;Beef;Milk;Afternoon
Saturday;Potato;Apple;Chicken;Butter;Afternoon
Sunday;Bread;Grapes;Fish;Milk;Afternoon
Monday;Potato;Orange;Chicken;Butter;Afternoon
Tuesday;Potato;Apple;Chicken;Milk;Evening
Wednesday;Bread;Banana;Chicken;Cheese;Evening
Thursday;Potato;Apple;Chicken;Butter;Afternoon
Friday;Bread;Orange;Chicken;Cheese;Morning
Saturday;Bread;Apple;Beef;Cheese;Morning
Sunday;Bread;Apple;Beef;Butter;Evening
Monday;Rice;Grapes;Beef;Egg;Afternoon
Tuesday;Bread;Grapes;Chicken;Milk;Evening
Wednesday;Bread;Banana;Beef;Cheese;Evening
Thursday;Potato;Orange;Beef;Egg;Afternoon
Friday;Pasta;Apple;Chicken;Butter;Afternoon
Saturday;Bread;Orange;Chicken;Cheese;Evening
Sunday;Bread;Blueberry;Beef;Egg;Evening
Monday;Potato;Apple;Chicken;Cheese;Morning
Tuesday;Bread;Apple;Fish;Butter;Evening
Wednesday;Pasta;Banana;Beef;Cheese;Morning
Thursday;Bread;Blueberry;Beef;Milk;Morning
Friday;Bread;Orange;Beef;Milk;Evening
Saturday;Bread;Banana;Chicken;Cheese;Afternoon
Sunday;Bread;Grapes;Beef;Cheese;Morning
Monday;Bread;Apple;Fish;Butter;Afternoon
Tuesday;Bread;Grapes;Chicken;Milk;Morning
Wednesday;Bread;Orange;Beef;Cheese;Evening
Thursday;Bread;Apple;Chicken;Cheese;Morning
Friday;Bread;Blueberry;Fish;Butter;Evening
Saturday;Rice;Apple;Fish;Milk;Evening
Sunday;Pasta;Apple;Fish;Butter;Evening
Monday;Bread;Grapes;Fish;Cheese;Evening
Tuesday;Bread;Orange;Beef;Butter;Morning
Wednesday;Bread;Apple;Fish;Cheese;Evening
Thursday;Bread;Apple;Chicken;Cheese;Evening
Friday;Pasta;Blueberry;Fish;Cheese;Morning
Saturday;Bread;Apple;Fish;Cheese;Afternoon
Sunday;Bread;Apple;Chicken;Egg;Morning
Monday;Bread;Orange;Chicken;Egg;Evening
Tuesday;Bread;Apple;Beef;Cheese;Evening
Wednesday;Pasta;Orange;Beef;Milk;Evening
Thursday;Rice;Apple;Chicken;Cheese;Evening
Friday;Bread;Grapes;Chicken;Cheese;Morning
Saturday;Pasta;Apple;Chicken;Cheese;Evening
Sunday;Potato;Banana;Beef;Egg;Evening
Monday;Bread;Apple;Chicken;Cheese;Evening
Tuesday;Potato;Grapes;Chicken;Butter;Morning
Wednesday;Bread;Blueberry;Chicken;Milk;Evening
Thursday;Bread;Apple;Chicken;Cheese;Evening
Friday;Potato;Apple;Chicken;Cheese;Evening
Saturday;Pasta;Apple;Chicken;Butter;Evening
Sunday;Potato;Apple;Chicken;Milk;Evening
Monday;Pasta;Apple;Beef;Cheese;Evening
Tuesday;Bread;Apple;Chicken;Milk;Evening
Wednesday;Potato;Orange;Fish;Cheese;Morning
Thursday;Pasta;Grapes;Chicken;Milk;Evening
Friday;Bread;Apple;Beef;Butter;Evening
Saturday;Pasta;Blueberry;Fish;Egg;Morning
Sunday;Pasta;Apple;Beef;Milk;Evening
Monday;Bread;Apple;Fish;Milk;Afternoon
Tuesday;Bread;Orange;Chicken;Butter;Evening
Wednesday;Potato;Banana;Fish;Egg;Afternoon
Thursday;Bread;Orange;Fish;Cheese;Evening
Friday;Potato;Apple;Beef;Cheese;Evening
Saturday;Bread;Apple;Chicken;Cheese;Evening
Sunday;Pasta;Apple;Fish;Butter;Evening
Monday;Bread;Apple;Beef;Cheese;Morning
Tuesday;Bread;Blueberry;Chicken;Butter;Afternoon
Wednesday;Potato;Banana;Fish;Cheese;Afternoon
Thursday;Bread;Banana;Beef;Cheese;Afternoon
Friday;Pasta;Apple;Beef;Milk;Evening
Saturday;Bread;Apple;Beef;Cheese;Morning
Sunday;Pasta;Orange;Fish;Cheese;Evening
Monday;Bread;Grapes;Beef;Butter;Morning
Tuesday;Bread;Banana;Chicken;Butter;Evening
Wednesday;Bread;Apple;Fish;Cheese;Morning
Thursday;Pasta;Orange;Chicken;Egg;Afternoon
Friday;Bread;Apple;Chicken;Butter;Evening
Saturday;Potato;Blueberry;Chicken;Butter;Afternoon
Sunday;Rice;Apple;Beef;Butter;Evening
Monday;Potato;Orange;Beef;Cheese;Evening
Tuesday;Bread;Blueberry;Chicken;Milk;Morning
Wednesday;Bread;Apple;Chicken;Butter;Evening
Thursday;Pasta;Apple;Chicken;Cheese;Evening
Friday;Bread;Blueberry;Chicken;Cheese;Evening
Saturday;Bread;Apple;Chicken;Butter;Afternoon
Sunday;Bread;Blueberry;Beef;Egg;Afternoon
Monday;Potato;Orange;Chicken;Cheese;Evening
Tuesday;Rice;Grapes;Chicken;Cheese;Afternoon
Wednesday;Bread;Orange;Fish;Cheese;Afternoon
Thursday;Bread;Apple;Beef;Butter;Morning
Friday;Bread;Apple;Beef;Egg;Afternoon
Saturday;Bread;Grapes;Chicken;Milk;Evening
Sunday;Rice;Apple;Chicken;Egg;Morning
Monday;Bread;Banana;Chicken;Cheese;Evening
Tuesday;Bread;Apple;Chicken;Milk;Afternoon
Wednesday;Pasta;Apple;Chicken;Cheese;Morning
Thursday;Bread;Apple;Fish;Egg;Evening
Friday;Bread;Orange;Fish;Cheese;Morning
Saturday;Pasta;Orange;Fish;Milk;Afternoon
Sunday;Bread;Apple;Fish;Egg;Morning
Monday;Bread;Apple;Chicken;Egg;Morning
Tuesday;Potato;Blueberry;Chicken;Milk;Evening
Wednesday;Pasta;Grapes;Chicken;Cheese;Afternoon
Thursday;Potato;Apple;Chicken;Milk;Evening
Friday;Potato;Orange;Chicken;Cheese;Afternoon
Saturday;Pasta;Apple;Chicken;Cheese;Evening
Sunday;Bread;Blueberry;Beef;Milk;Morning
Monday;Rice;Apple;Fish;Cheese;Afternoon
Tuesday;Bread;Apple;Chicken;Milk;Evening
Wednesday;Bread;Blueberry;Beef;Egg;Afternoon
Thursday;Potato;Grapes;Chicken;Cheese;Morning
Friday;Pasta;Grapes;Chicken;Milk;Evening
Saturday;Rice;Apple;Fish;Milk;Evening
Sunday;Bread;Orange;Beef;Cheese;Evening
Monday;Bread;Grapes;Chicken;Cheese;Morning
Tuesday;Pasta;Apple;Fish;Cheese;Afternoon
Wednesday;Bread;Apple;Chicken;Cheese;Afternoon
Thursday;Potato;Grapes;Chicken;Cheese;Morning
Friday;Bread;Orange;Chicken;Milk;Evening
Saturday;Pasta;Apple;Fish;Egg;Evening
Sunday;Bread;Apple;Fish;Egg;Evening
Monday;Bread;Orange;Fish;Milk;Afternoon
Tuesday;Potato;Apple;Chicken;Milk;Evening
Wednesday;Pasta;Banana;Beef;Egg;Morning
Thursday;Bread;Grapes;Fish;Butter;Evening
Friday;Pasta;Blueberry;Beef;Butter;Morning
Saturday;Bread;Blueberry;Beef;Cheese;Evening
Sunday;Potato;Banana;Beef;Butter;Morning
Monday;Pasta;Orange;Chicken;Butter;Evening
Tuesday;Bread;Blueberry;Chicken;Egg;Evening
Wednesday;Bread;Orange;Fish;Egg;Evening
Thursday;Pasta;Apple;Beef;Cheese;Morning
Friday;Bread;Grapes;Chicken;Cheese;Afternoon
Saturday;Potato;Apple;Chicken;Cheese;Evening
Sunday;Bread;Orange;Chicken;Egg;Morning
Monday;Rice;Apple;Chicken;Egg;Evening
Tuesday;Pasta;Banana;Chicken;Butter;Afternoon
Wednesday;Bread;Apple;Chicken;Cheese;Afternoon
Thursday;Bread;Apple;Beef;Butter;Evening
Friday;Potato;Blueberry;Chicken;Cheese;Evening
Saturday;Bread;Apple;Chicken;Cheese;Evening
Sunday;Potato;Grapes;Chicken;Butter;Evening
Monday;Bread;Banana;Fish;Milk;Morning
Tuesday;Bread;Orange;Beef;Milk;Evening
Wednesday;Bread;Blueberry;Chicken;Cheese;Evening
Thursday;Potato;Apple;Chicken;Butter;Afternoon
Friday;Pasta;Blueberry;Chicken;Butter;Afternoon
Saturday;Bread;Apple;Chicken;Butter;Evening
Sunday;Bread;Banana;Fish;Cheese;Afternoon
Monday;Bread;Orange;Chicken;Butter;Evening
Tuesday;Pasta;Grapes;Chicken;Egg;Morning
Wednesday;Rice;Orange;Chicken;Cheese;Evening
Thursday;Bread;Orange;Beef;Butter;Evening
Friday;Pasta;Grapes;Chicken;Milk;Evening
Saturday;Potato;Orange;Chicken;Egg;Afternoon
Sunday;Bread;Apple;Fish;Egg;Afternoon
Monday;Pasta;Apple;Fish;Cheese;Evening
Tuesday;Bread;Grapes;Fish;Egg;Afternoon
Wednesday;Pasta;Banana;Chicken;Milk;Evening
Thursday;Bread;Apple;Beef;Milk;Evening
Friday;Bread;Banana;Fish;Cheese;Evening
Saturday;Bread;Apple;Beef;Cheese;Morning
Sunday;Pasta;Apple;Fish;Milk;Evening
Monday;Rice;Banana;Fish;Cheese;Evening
Tuesday;Bread;Apple;Fish;Butter;Evening
Wednesday;Potato;Apple;Chicken;Cheese;Evening
Thursday;Potato;Orange;Chicken;Butter;Afternoon
Friday;Bread;Orange;Chicken;Cheese;Evening
Saturday;Bread;Apple;Chicken;Egg;Morning
Sunday;Bread;Apple;Beef;Egg;Evening
Monday;Bread;Banana;Chicken;Egg;Evening
Tuesday;Bread;Blueberry;Beef;Butter;Morning
Wednesday;Potato;Apple;Chicken;Cheese;Morning
Thursday;Bread;Grapes;Chicken;Butter;Afternoon
Friday;Bread;Grapes;Beef;Egg;Evening
Saturday;Potato;Blueberry;Beef;Egg;Evening
Sunday;Pasta;Orange;Fish;Milk;Morning
Monday;Rice;Orange;Fish;Cheese;Afternoon
Tuesday;Bread;Grapes;Fish;Egg;Evening
Wednesday;Bread;Grapes;Beef;Cheese;Evening
Thursday;Potato;Grapes;Chicken;Butter;Evening
Friday;Bread;Orange;Chicken;Cheese;Afternoon
Saturday;Bread;Apple;Fish;Butter;Evening
Sunday;Potato;Apple;Fish;Butter;Evening
Monday;Potato;Apple;Chicken;Cheese;Evening
Tuesday;Rice;Apple;Beef;Cheese;Evening
Wednesday;Rice;Orange;Fish;Cheese;Morning
Thursday;Bread;Banana;Chicken;Egg;Afternoon
Friday;Bread;Blueberry;Chicken;Milk;Evening
Saturday;Bread;Blueberry;Fish;Cheese;Evening
Sunday;Potato;Blueberry;Fish;Butter;Evening
Monday;Pasta;Orange;Chicken;Butter;Evening
Tuesday;Potato;Apple;Chicken;Cheese;Afternoon
Wednesday;Potato;Blueberry;Fish;Egg;Afternoon
Thursday;Potato;Blueberry;Chicken;Cheese;Morning
Friday;Pasta;Orange;Fish;Egg;Evening
Saturday;Rice;Grapes;Chicken;Milk;Evening
Sunday;Bread;Banana;Chicken;Cheese;Afternoon
Monday;Rice;Banana;Chicken;Cheese;Afternoon
Tuesday;Bread;Orange;Chicken;Butter;Afternoon
Wednesday;Bread;Orange;Fish;Butter;Morning
Thursday;Potato;Banana;Fish;Egg;Afternoon
Friday;Potato;Orange;Chicken;Butter;Evening
Saturday;Pasta;Apple;Fish;Butter;Evening
Sunday;Pasta;Banana;Chicken;Egg;Morning
Monday;Bread;Banana;Chicken;Cheese;Morning
Tuesday;Bread;Apple;Chicken;Cheese;Evening
Wednesday;Bread;Banana;Fish;Butter;Evening
Thursday;Bread;Apple;Chicken;Butter;Evening
Friday;Bread;Apple;Chicken;Butter;Evening
Saturday;Bread;Orange;Fish;Butter;Morning
Sunday;Bread;Apple;Beef;Butter;Afternoon
Monday;Pasta;Grapes;Chicken;Cheese;Morning
Tuesday;Bread;Orange;Chicken;Cheese;Evening
Wednesday;Rice;Apple;Beef;Milk;Afternoon
Thursday;Pasta;Banana;Chicken;Cheese;Evening
Friday;Bread;Blueberry;Beef;Cheese;Evening
Saturday;Bread;Apple;Chicken;Cheese;Evening
Sunday;Rice;Blueberry;Fish;Butter;Evening
Monday;Bread;Apple;Fish;Egg;Morning
Tuesday;Rice;Blueberry;Chicken;Cheese;Morning
Wednesday;Bread;Apple;Chicken;Cheese;Morning
Thursday;Rice;Grapes;Beef;Butter;Evening
Friday;Potato;Orange;Chicken;Milk;Afternoon
Saturday;Pasta;Blueberry;Beef;Cheese;Evening
Sunday;Rice;Orange;Beef;Butter;Morning
Monday;Bread;Banana;Beef;Egg;Evening
Tuesday;Rice;Banana;Beef;Cheese;Evening
Wednesday;Potato;Apple;Chicken;Cheese;Afternoon
Thursday;Bread;Banana;Chicken;Cheese;Afternoon
Friday;Bread;Banana;Fish;Butter;Morning
Saturday;Rice;Apple;Fish;Cheese;Evening
Sunday;Potato;Banana;Chicken;Cheese;Morning
Monday;Bread;Blueberry;Fish;Butter;Evening
Tuesday;Potato;Orange;Chicken;Egg;Evening
Wednesday;Bread;Orange;Beef;Cheese;Evening
Thursday;Bread;Apple;Chicken;Egg;Evening
Friday;Pasta;Banana;Chicken;Butter;Evening
Saturday;Bread;Apple;Chicken;Cheese;Morning
Sunday;Pasta;Blueberry;Beef;Butter;Afternoon
Monday;Bread;Blueberry;Beef;Cheese;Afternoon
Tuesday;Bread;Apple;Chicken;Cheese;Afternoon
Wednesday;Bread;Apple;Fish;Cheese;Evening
Thursday;Bread;Orange;Chicken;Cheese;Afternoon
Friday;Bread;Grapes;Chicken;Egg;Afternoon
Saturday;Rice;Banana;Chicken;Butter;Evening
Sunday;Potato;Blueberry;Chicken;Cheese;Morning
Monday;Bread;Apple;Fish;Butter;Evening
Tuesday;Potato;Apple;Beef;Milk;Afternoon
Wednesday;Bread;Banana;Chicken;Butter;Evening
Thursday;Potato;Blueberry;Fish;Milk;Evening
Friday;Rice;Orange;Chicken;Cheese;Morning
Saturday;Bread;Orange;Fish;Milk;Evening
Sunday;Pasta;Blueberry;Chicken;Cheese;Morning
Monday;Bread;Orange;Chicken;Cheese;Evening
Tuesday;Bread;Grapes;Chicken;Cheese;Evening
Wednesday;Rice;Grapes;Beef;Egg;Evening
Thursday;Pasta;Banana;Beef;Cheese;Evening
Friday;Potato;Grapes;Chicken;Milk;Morning
Saturday;Potato;Blueberry;Chicken;Milk;Evening
Sunday;Bread;Blueberry;Chicken;Milk;Evening
Monday;Pasta;Grapes;Chicken;Butter;Afternoon
Tuesday;Pasta;Apple;Fish;Cheese;Afternoon
Wednesday;Rice;Apple;Beef;Cheese;Afternoon
Thursday;Potato;Apple;Fish;Egg;Morning
Friday;Bread;Orange;Beef;Butter;Evening
Saturday;Bread;Grapes;Beef;Butter;Evening
Sunday;Potato;Apple;Chicken;Cheese;Evening
Monday;Bread;Apple;Chicken;Milk;Evening
Tuesday;Bread;Orange;Fish;Cheese;Morning
Wednesday;Bread;Orange;Chicken;Milk;Evening
Thursday;Bread;Blueberry;Fish;Butter;Morning
Friday;Pasta;Apple;Beef;Butter;Morning
Saturday;Bread;Blueberry;Chicken;Cheese;Afternoon
Sunday;Pasta;Banana;Chicken;Milk;Evening
Monday;Pasta;Apple;Chicken;Cheese;Afternoon
Tuesday;Bread;Grapes;Fish;Cheese;Morning
Wednesday;Pasta;Apple;Chicken;Cheese;Morning
Thursday;Rice;Banana;Fish;Egg;Evening
Friday;Rice;Orange;Beef;Milk;Morning
Saturday;Rice;Grapes;Beef;Cheese;Evening
Sunday;Potato;Apple;Chicken;Egg;Afternoon
Monday;Rice;Apple;Fish;Egg;Evening
Tuesday;Pasta;Apple;Chicken;Butter;Evening
Wednesday;Pasta;Orange;Beef;Cheese;Morning
Thursday;Bread;Apple;Chicken;Milk;Afternoon
Friday;Rice;Apple;Chicken;Cheese;Evening
Saturday;Potato;Apple;Chicken;Milk;Morning
Sunday;Pasta;Orange;Beef;Cheese;Afternoon
Monday;Bread;Apple;Beef;Butter;Morning
Tuesday;Bread;Apple;Chicken;Milk;Afternoon
Wednesday;Potato;Apple;Fish;Egg;Morning
Thursday;Bread;Apple;Chicken;Milk;Morning
Friday;Bread;Apple;Chicken;Cheese;Afternoon
Saturday;Bread;Grapes;Fish;Egg;Morning
Sunday;Potato;Apple;Beef;Cheese;Evening
Monday;Bread;Blueberry;Beef;Egg;Morning
Tuesday;Pasta;Blueberry;Chicken;Cheese;Morning
Wednesday;Bread;Apple;Beef;Cheese;Afternoon
Thursday;Bread;Banana;Chicken;Cheese;Morning
Friday;Bread;Blueberry;Chicken;Egg;Morning
Saturday;Pasta;Orange;Chicken;Butter;Morning
Sunday;Pasta;Orange;Beef;Egg;Evening
Monday;Bread;Apple;Chicken;Cheese;Evening
Tuesday;Rice;Blueberry;Chicken;Milk;Evening
Wednesday;Bread;Blueberry;Chicken;Cheese;Morning
Thursday;Pasta;Apple;Chicken;Egg;Evening
Friday;Bread;Apple;Chicken;Cheese;Afternoon
Saturday;Bread;Orange;Chicken;Egg;Evening
Sunday;Bread;Banana;Chicken;Cheese;Evening
Monday;Bread;Blueberry;Fish;Cheese;Afternoon
Tuesday;Bread;Apple;Chicken;Butter;Evening
Wednesday;Rice;Blueberry;Beef;Butter;Evening
Thursday;Potato;Grapes;Chicken;Cheese;Evening
Friday;Bread;Apple;Chicken;Cheese;Morning
Saturday;Bread;Orange;Beef;Cheese;Morning
Sunday;Potato;Apple;Chicken;Egg;Evening
Monday;Pasta;Orange;Chicken;Cheese;Morning
Tuesday;Bread;Apple;Beef;Cheese;Morning
Wednesday;Bread;Blueberry;Beef;Milk;Evening
Thursday;Pasta;Banana;Fish;Cheese;Evening
Friday;Potato;Orange;Beef;Cheese;Evening
Saturday;Bread;Apple;Beef;Butter;Morning
Sunday;Potato;Apple;Chicken;Cheese;Afternoon
Monday;Bread;Apple;Beef;Milk;Evening
Tuesday;Pasta;Grapes;Fish;Butter;Evening
Wednesday;Rice;Banana;Fish;Milk;Evening
Thursday;Bread;Grapes;Fish;Butter;Evening
Friday;Pasta;Grapes;Chicken;Egg;Evening
Saturday;Pasta;Orange;Chicken;Egg;Evening
Sunday;Bread;Apple;Chicken;Butter;Evening
Monday;Rice;Banana;Chicken;Milk;Morning
Tuesday;Bread;Orange;Beef;Milk;Afternoon
Wednesday;Rice;Orange;Chicken;Milk;Morning
Thursday;Rice;Apple;Beef;Egg;Afternoon
Friday;Bread;Orange;Beef;Cheese;Evening
Saturday;Bread;Apple;Chicken;Egg;Afternoon
Sunday;Bread;Orange;Fish;Milk;Morning
Monday;Rice;Apple;Fish;Egg;Evening
Tuesday;Bread;Orange;Chicken;Cheese;Morning
Wednesday;Bread;Grapes;Chicken;Milk;Evening
Thursday;Bread;Blueberry;Beef;Butter;Evening
Friday;Bread;Apple;Chicken;Butter;Afternoon
